Query       	qlen	Templa    	alnlen	preTMS	preTMS2	Z-score	SID	Description
WP_010940055.1	183	PF01184.20	183	0.9523	0.8459	8.144	33.3%	| Gpr1_Fun34_YaaH ; GPR1/FUN34/yaaH family
WP_010940198.1	390	PF01837.17	358	0.9066	0.9867	19.936	55.3%	| HcyBio ; Homocysteine biosynthesis enzyme, sulfur-incorporation
WP_011791395.1	375	PF00310.22	363	0.8987	0.8017	15.027	14.0%	| GATase_2 ; Glutamine amidotransferases class-II
WP_011792312.1	226	PF03609.15	217	0.8937	0.8755	10.217	15.2%	| EII-Sor ; PTS system sorbose-specific iic component
WP_010940349.1	401	PF03349.17	385	0.8911	0.8586	19.105	21.8%	| Toluene_X ; Outer membrane protein transport protein (OMPP1/FadL/TodX)
WP_010937534.1	131	PF15919.6	121	0.8635	0.8889	6.481	27.3%	| HicB_lk_antitox ; HicB_like antitoxin of bacterial toxin-antitoxin system
WP_010937517.1	108	PF05354.12	106	0.8526	0.7948	6.132	15.1%	| Phage_attach ; Phage Head-Tail Attachment
WP_010937762.1	255	PF06134.12	255	0.8484	0.5436	11.767	11.8%	| RhaA ; L-rhamnose isomerase (RhaA)
WP_010939009.1	550	PF12236.9	481	0.8440	0.9480	16.219	28.9%	| Head-tail_con ; Bacteriophage head to tail connecting protein
WP_010940480.1	447	PF00342.20	425	0.8431	0.7649	15.805	21.2%	| PGI ; Phosphoglucose isomerase
WP_010939987.1	124	PF10618.10	114	0.8412	0.9011	5.902	18.4%	| Tail_tube ; Phage tail tube protein
WP_010937898.1	115	PF02635.16	110	0.8406	0.7538	5.270	20.9%	| DrsE ; DsrE/DsrF-like family
WP_014524683.1	169	PF03433.14	164	0.8356	0.7931	6.049	15.9%	| EspA ; EspA-like secreted protein
WP_010939945.1	88	PF06892.12	87	0.8347	0.4874	6.596	14.9%	| Phage_CP76 ; Phage regulatory protein CII (CP76)
WP_010939349.1	318	PF01654.18	308	0.8333	0.6233	10.015	8.8%	| Cyt_bd_oxida_I ; Cytochrome bd terminal oxidase subunit I
WP_010938106.1	98	PF06892.12	97	0.8289	0.5396	6.761	16.5%	| Phage_CP76 ; Phage regulatory protein CII (CP76)
WP_010939873.1	569	PF16510.6	544	0.8242	0.7034	15.754	7.9%	| P22_portal ; Phage P22-like portal protein
WP_010938423.1	80	PF01920.21	80	0.8212	0.6736	3.022	10.0%	| Prefoldin_2 ; Prefoldin subunit
WP_010938088.1	156	PF04093.13	148	0.8184	0.7832	7.663	12.8%	| MreD ; rod shape-determining protein MreD
WP_010937807.1	273	PF12997.8	252	0.8140	0.7903	10.191	13.5%	| DUF3881 ; Domain of unknown function, E. rectale Gene description (DUF3881)
WP_010938782.1	116	PF09343.11	111	0.8131	0.4930	5.603	9.0%	| DUF2460 ; Conserved hypothetical protein 2217 (DUF2460)
WP_010939868.1	184	PF17212.4	161	0.8095	0.8812	8.245	13.0%	| Tube ; Tail tubular protein
WP_010939487.1	120	PF02391.18	108	0.8084	0.8272	5.270	23.1%	| MoaE ; MoaE protein
WP_041722685.1	70	PF08809.12	63	0.8059	0.7008	3.849	22.2%	| DUF1799 ; Phage related hypothetical protein (DUF1799)
WP_010937516.1	197	PF06763.12	175	0.8055	0.8672	7.381	15.4%	| Minor_tail_Z ; Prophage minor tail protein Z (GPZ)
WP_010937447.1	72	PF18037.2	72	0.8026	0.6308	4.701	11.1%	| Ubiquitin_5 ; Ubiquitin-like domain
WP_010939781.1	95	PF04999.14	91	0.7999	0.7999	5.302	9.9%	| FtsL ; Cell division protein FtsL
WP_010939755.1	354	PF01654.18	334	0.7969	0.6586	9.994	11.1%	| Cyt_bd_oxida_I ; Cytochrome bd terminal oxidase subunit I
WP_010937683.1	88	PF02966.17	88	0.7951	0.5623	5.217	8.0%	| DIM1 ; Mitosis protein DIM1
WP_010938409.1	148	PF09393.11	137	0.7935	0.8386	6.599	12.4%	| DUF2001 ; Phage tail tube protein
WP_010939433.1	121	PF05939.14	106	0.7922	0.8845	6.562	19.8%	| Phage_min_tail ; Phage minor tail protein
WP_010938898.1	248	PF10111.10	234	0.7909	0.6941	10.161	11.1%	| Glyco_tranf_2_2 ; Glycosyltransferase like family 2
WP_010938416.1	115	PF02924.15	106	0.7903	0.7844	6.608	16.0%	| HDPD ; Bacteriophage lambda head decoration protein D
WP_011176692.1	69	PF08988.11	63	0.7878	0.8283	2.934	14.3%	| T3SS_needle_E ; Type III secretion system, cytoplasmic E component of needle
WP_010940344.1	81	PF05005.16	78	0.7878	0.6350	5.225	11.5%	| Ocnus ; Janus/Ocnus family (Ocnus)
WP_010937746.1	96	PF02426.17	85	0.7800	0.8255	5.148	21.2%	| MIase ; Muconolactone delta-isomerase
WP_164561408.1	157	PF06892.12	145	0.7764	0.7678	5.666	7.6%	| Phage_CP76 ; Phage regulatory protein CII (CP76)
WP_010938421.1	494	PF03354.16	413	0.7756	0.8180	16.881	9.7%	| Terminase_1 ; Phage Terminase
WP_014524471.1	116	PF00072.25	107	0.7752	0.7866	5.593	11.2%	| Response_reg ; Response regulator receiver domain
