Query       	qlen	Templa	alnlen	Prob	E-value	SID	Neff	Description
WP_010937802.1	1015	1BGX_T	823	100.00	5.1e-119	39%	8.60701	| TAQ DNA POLYMERASE, TP7 MAB; DNA POLYMERASE, FAB, PCR, INHIBITION; 2.3A {Thermus aquaticus} SCOP: c.55.3.5, c.120.1.2, e.8.1.1, a.60.7.1
WP_010940526.1	420	3C2Q_B	337	100.00	1.1e-97	38%	4.76971	| Uncharacterized conserved protein; putative LOR/SDH, Structural Genomics, PSI-2; HET: IMD; 2.0A {Methanococcus maripaludis S2}
WP_010939002.1	697	6R21_f	664	100.00	4.5e-85	14%	7.88303	| PROTEIN; viral complex, DNA ejection, VIRAL; 3.33A {Enterobacteria phage T7}
WP_010938240.1	964	3S5M_A	950	100.00	2.4e-80	27%	11.6781	| Falcilysin; M16 metalloprotease, peptidase, HYDROLASE; 1.55A {Plasmodium falciparum}
WP_010939006.1	310	3J4U_E	296	100.00	2.5e-68	19%	7.48037	| major capsid protein, cementing protein; protein topology, cryoEM, VIRUS; 3.5A {Bordetella phage BPP-1}
WP_011791395.1	375	1EA0_A	356	100.00	3.7e-62	17%	8.70051	| GLUTAMATE SYNTHASE [NADPH] LARGE CHAIN; OXIDOREDUCTASE, IRON SULPHUR FLAVOPROTEIN; HET: OMT, FMN, F3S, AKG; 3.0A {AZOSPIRILLUM BRASILENSE} SCOP: b.80.4.1, d.153.1.1, c.1.4.1
WP_010940480.1	447	1C7Q_A	436	100.00	2.7e-61	27%	9.27755	| PHOSPHOGLUCOSE ISOMERASE (E.C.5.3.1.9); PHOSPHOGLUCOSE ISOMERASE/AUTOCRINE MOTILITY FACTOR/ NEUROLEUKIN; HET: BE1; 2.3A {Geobacillus stearothermophilus} SCOP: c.80.1.2
WP_010940670.1	304	3J4U_E	296	100.00	3.9e-58	18%	8.47721	| major capsid protein, cementing protein; protein topology, cryoEM, VIRUS; 3.5A {Bordetella phage BPP-1}
WP_010938515.1	731	1J0K_A	521	100.00	2.3e-57	15%	10.2067	| neopullulanase (E.C.3.2.1.135); beta-alpha-barrels, HYDROLASE; HET: GLC; 3.2A {Geobacillus stearothermophilus} SCOP: b.71.1.1, c.1.8.1, b.1.18.2
WP_014524585.1	280	4BQN_B	274	100.00	5.1e-57	19%	8.78736	| CAPSULAR POLYSACCHARIDE BIOSYNTHESIS PROTEIN; TRANSFERASE, ACETYLTRANSFERASE, MELIOIDOSIS.; HET: COA, PEG, PGE; 1.38A {BURKHOLDERIA PSEUDOMALLEI}
WP_010940655.1	315	4G07_A	302	100.00	1.8e-53	17%	6.50279	| Histidinol dehydrogenase (E.C.1.1.1.23); Rossmann Fold, L-HISTIDINOL DEHYDROGENASE, OXIDOREDUCTASE; 1.95A {Brucella suis 1330}
WP_010939009.1	550	6QWP_C	507	100.00	2e-51	15%	10.1809	| Portal protein; viral protein, DNA packaging; 3.4A {Enterobacteria phage T7}
WP_010939873.1	569	6QWP_C	520	100.00	3.5e-51	16%	10.2655	| Portal protein; viral protein, DNA packaging; 3.4A {Enterobacteria phage T7}
WP_014524228.1	252	3C0U_A	177	100.00	1.1e-50	18%	5.42548	| Uncharacterized protein yaeQ; Escherichia coli, yaeQ, PSI-2, Protein; HET: MSE, SO4; 2.7A {Escherichia coli}
WP_164928113.1	189	6V40_A	172	100.00	2.2e-50	29%	8.16985	| PG_binding_3 domain-containing protein; Muramidase Lysozyme-like Peptidoglycan-binding, PROTEIN TRANSPORT; HET: API; 2.104A {Salmonella typhi}
WP_010940128.1	182	6V40_A	165	100.00	1.1e-49	30%	8.13055	| PG_binding_3 domain-containing protein; Muramidase Lysozyme-like Peptidoglycan-binding, PROTEIN TRANSPORT; HET: API; 2.104A {Salmonella typhi}
WP_010938446.1	348	5V8D_C	301	100.00	4.5e-48	17%	10.1491	| Bacillus cereus PatB1; acetyltransferase, cell wall, SGNH hydrolase-like; HET: OSE, SO4; 2.001A {Bacillus cereus (strain ATCC 10987 / NRS 248)}
WP_010939173.1	580	2Q40_A	338	100.00	5.6e-45	17%	6.48539	| Protein At2g17340; Ensemble Refinement, Refinement Methodology Development; HET: MG; 1.7A {Arabidopsis thaliana} SCOP: e.50.1.1
WP_011792312.1	226	6K1H_E	216	100.00	1.4e-43	15%	7.77724	| PTS system mannose-specific EIID component; PTS, ManYZ, transporter, Mannose, PROTEIN; HET: MAN; 3.52A {Escherichia coli (strain K12)}
WP_010938748.1	247	5Y06_A	237	100.00	5.2e-43	21%	10.6559	| msmeg_4306; coiled coil helix, zinc ribbon; 2.606A {Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)}
WP_010940055.1	183	5YS3_A	183	100.00	2.8e-41	60%	7.6496	| Succinate-Acetate Permease; organic anion channel, rectifying, unidirectional; HET: PLM, 78M, ACT; 1.823A {Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696)}
WP_010939276.1	215	2P3P_B	172	100.00	6.7e-41	15%	7.21113	| Hypothetical protein; MCSG, hypothetical protein, MAD, PSI-2; 1.76A {Porphyromonas gingivalis W83} SCOP: d.383.1.1
WP_011176612.1	989	2YMV_A	323	100.00	6.4e-40	21%	10.0344	| ACG NITROREDUCTASE; OXIDOREDUCTASE, DORMANCY, REDUCED FMN; HET: FNR, PGE; 1.6A {MYCOBACTERIUM SMEGMATIS}
WP_010937575.1	418	5I2T_A	401	100.00	1.1e-38	12%	12.4378	| Periodic tryptophan protein 2; ribosome biogenesis, WD, biosynthetic protein; 2.543A {Saccharomyces cerevisiae}
WP_010939868.1	184	5MU4_A	173	100.00	2e-38	14%	8.54405	| Tail tubular protein A; tail tubular protein, bacteriophage, exopolysaccharide; 1.9A {Klebsiella phage KP32}
WP_010939487.1	120	4AP8_C	113	100.00	3.6e-38	15%	6.86116	| MOLYBDOPTERIN SYNTHASE CATALYTIC SUBUNIT (E.C.2.8.1.12); TRANSFERASE; HET: GOL; 2.78A {HOMO SAPIENS}
WP_010939349.1	318	6RX4_A	306	100.00	6.3e-38	11%	8.91404	| Cytochrome bd-I ubiquinol oxidase subunit; BD OXIDASE, TERMINAL OXIDASE, OXIDOREDUCTASE; HET: PEE, UQ8, HDD, HEB; 3.3A {Escherichia coli (strain K12)}
WP_010939003.1	195	5MU4_A	177	100.00	1.6e-37	8%	8.3787	| Tail tubular protein A; tail tubular protein, bacteriophage, exopolysaccharide; 1.9A {Klebsiella phage KP32}
WP_010940642.1	337	4NOO_C	197	100.00	5.3e-37	23%	6.25295	| VgrG protein, Putative uncharacterized protein; self-protection, chitosanase-fold, three-helical bundle, glycoside; HET: MSE; 2.3A {Vibrio cholerae O1 biovar El Tor}
WP_010939108.1	251	2VDC_A	235	100.00	7.4e-37	25%	6.86782	| GLUTAMATE SYNTHASE [NADPH] LARGE CHAIN; OXIDOREDUCTASE, AMIDOTRANSFERASE, AMMONIA ASSIMILATION, NADP; HET: FAD, F3S, SF4, FMN, OMT, AKG; 9.5A {AZOSPIRILLUM BRASILENSE} SCOP: b.80.4.1, d.153.1.1, c.1.4.1
WP_010938751.1	248	1KMI_Z	188	100.00	9e-37	24%	7.06827	| Chemotaxis protein cheY, Chemotaxis protein; four-helix bundle, SIGNALING PROTEIN; HET: BCN; 2.9A {Escherichia coli} SCOP: h.4.11.1
WP_010938421.1	494	3EZK_B	425	100.00	1.1e-36	13%	12.2816	| DNA packaging protein Gp17; pentameric motor, DNA packaging, Alternative; 34.0A {Bacteriophage T4}
WP_010939880.1	519	3EZK_B	469	100.00	3.2e-36	13%	11.7866	| DNA packaging protein Gp17; pentameric motor, DNA packaging, Alternative; 34.0A {Bacteriophage T4}
WP_010940349.1	401	3PGU_A	372	100.00	4.5e-36	23%	11.4976	| Long-chain fatty acid transport protein; outer membrane beta barrel, lipid; HET: OLA, 2PE, C8E; 1.7A {Escherichia coli K-12}
WP_014524664.1	902	5FKT_B	650	100.00	6e-36	18%	12.0128	| ENDO-1,4-BETA-GLUCANASE/XYLOGLUCANASE, GLY74A (E.C.3.2.1.-, 3.2.1.-, 3.2.1.151); HYDROLASE, CELLVIBRIO JAPONICUS, XYLOGLUCAN SACCHARIFICATION; HET: EDO; 1.52A {CELLVIBRIO JAPONICUS}
WP_010939012.1	534	3EZK_B	466	100.00	8.9e-36	12%	11.7122	| DNA packaging protein Gp17; pentameric motor, DNA packaging, Alternative; 34.0A {Bacteriophage T4}
WP_010940012.1	314	6JIW_A	255	99.95	4.2e-34	26%	9.28181	| Diaminopimelate epimerase; histidine racemase, cobalt and nickel; HET: MSE; 1.58A {Staphylococcus aureus}
WP_010937762.1	255	3WQO_B	251	99.95	7.7e-34	14%	11.1831	| Uncharacterized protein MJ1311; Tim Barrel, Unknown Function; 2.64A {Methanocaldococcus jannaschii DSM 2661}
WP_010939755.1	354	5IR6_A	341	99.94	4.5e-33	14%	8.36959	| Bd-type quinol oxidase subunit I; bd oxidase, terminal oxidase, oxidoreductase; HET: HDD, HEB; 3.8A {Geobacillus stearothermophilus K1041}
WP_014524301.1	311	3OHG_A	252	99.94	7.6e-33	14%	9.35411	| Uncharacterized protein from DUF2233 family; STRUCTURAL GENOMICS, UNKNOWN FUNCTION, JOINT; HET: EDO, SO4; 1.8A {Bacteroides ovatus}
WP_014524340.1	622	3JC9_Ma	374	99.94	1.2e-32	16%	11.4347	| PilA, PilC, PilN, PilO, PilM; motor, pilus, ring, membrane channel; HET: MG, ATP, MEA;{Myxococcus xanthus DK 1622}
WP_010938850.1	797	2VDC_H	421	99.94	1.6e-32	21%	8.77291	| GLUTAMATE SYNTHASE [NADPH] LARGE CHAIN; OXIDOREDUCTASE, AMIDOTRANSFERASE, AMMONIA ASSIMILATION, NADP; HET: FAD, F3S, SF4, FMN, OMT, AKG; 9.5A {AZOSPIRILLUM BRASILENSE}
WP_010939686.1	586	3HJL_A	268	99.93	4.2e-32	14%	7.87177	| Flagellar motor switch protein fliG; Armadillo repeat motif, superhelix, conformational; 2.4A {Aquifex aeolicus}
WP_010940168.1	250	5JSZ_D	242	99.93	1.4e-31	15%	9.73497	| Energy-coupling factor transporter ATP-binding protein; ECF transporter, folate, membrane protein; 3.004A {Lactobacillus delbrueckii subsp. bulgaricus (strain ATCC 11842 / DSM 20081 / JCM 1002 / NBRC 13953 / NCIMB 11778)}
WP_010939911.1	147	3KEW_A	143	99.93	1.8e-31	19%	10.2243	| DHHA1 domain protein; STRUCTURAL GENOMICS, PSI-2, TRNA SYNTHASE; 2.0A {Clostridium perfringens}
WP_010937534.1	131	4P7D_B	130	99.91	5.1e-30	25%	9.56801	| Antitoxin HicB3; toxin-antitoxin complex, Toxin, homotetramer; HET: MSE; 2.781A {Yersinia pestis}
WP_010939241.1	277	1N94_A	261	99.90	2.5e-29	8%	11.8596	| Protein farnesyltransferase alpha subunit (E.C.2.5.1.-); Farnesyltransferase, Prenyltransferase, TRANSFERASE; HET: HFP, TIN; 3.5A {Rattus norvegicus} SCOP: a.118.6.1
WP_010939608.1	516	2NLY_A	228	99.90	2.7e-29	32%	5.44871	| Divergent polysaccharide deacetylase  hypothetical; divergent polysaccharide deacetylase  pfam04748; 2.5A {Bacillus halodurans} SCOP: c.6.2.7
WP_010938407.1	110	3FGX_A	110	99.90	4.6e-29	20%	5.31231	| RBSTP2171; STRUCTURAL GENOMICS  BACILLUS STEAROTHERMOPHILUS; 2.9A {BACILLUS STEAROTHERMOPHILUS}
WP_014524594.1	290	5HEA_B	254	99.89	2.6e-28	13%	12.0797	| Putative glycosyltransferase (GalT1); Glycosyltransferase, helix binding domain, TRANSFERASE; 2.003A {Streptococcus parasanguinis FW213}
WP_010938898.1	248	5HEA_B	232	99.88	3.2e-28	10%	11.981	| Putative glycosyltransferase (GalT1); Glycosyltransferase, helix binding domain, TRANSFERASE; 2.003A {Streptococcus parasanguinis FW213}
WP_010937574.1	219	3EGW_C	187	99.88	6.5e-28	23%	8.41558	| Respiratory nitrate reductase 1 alpha; OXIDOREDUCTASE, nitrate reduction, electron transfer; HET: 3PH, MD1, F3S, AGA, MGD, SF4, HEM; 1.9A {Escherichia coli}
WP_010937898.1	115	1L1S_A	112	99.88	6.7e-28	29%	10.1087	| hypothetical protein MTH1491; Structural Genomics, Hypothetical Protein, PSI; 2.3A {Methanothermobacter thermautotrophicus} SCOP: c.114.1.1
WP_010939385.1	119	1EO1_A	119	99.87	9.4e-28	33%	9.61762	| HYPOTHETICAL PROTEIN MTH1175; mixed a/b protein, mixed beta; NMR {Methanothermobacter thermautotrophicus} SCOP: c.55.5.1
WP_010939152.1	233	5H7W_B	222	99.87	9.7e-28	14%	10.1062	| venom 5'-nucleotidase; 5'-nucleotidase, purine hydrolysis, snake venom; HET: NAG, BMA; 1.9A {Naja atra}
WP_010938847.1	150	1H21_D	142	99.87	1.1e-27	14%	8.31156	| SPLIT-SORET CYTOCHROME C; CYTOCHROME, DIMERIC DI-HEME CYTOCHROME, STACKED; HET: HEC; 2.5A {DESULFOVIBRIO DESULFURICANS} SCOP: a.138.1.3
WP_010938318.1	406	4U65_F	172	99.87	1.2e-27	33%	5.02118	| Periplasmic output domain of the; signalling, PAS-like fold, Transferase-Hydrolase complex; 2.1A {Legionella pneumophila subsp. pneumophila}
WP_010939428.1	119	2HG7_A	99	99.87	1.3e-27	28%	6.57393	| Phage-like element PBSX protein xkdW; Phage-like element PBSX protein xkdW; NMR {Bacillus subtilis} SCOP: d.186.2.1
WP_010938404.1	266	6U5H_B	259	99.87	1.4e-27	17%	11.1599	| Probable bacteriophage protein Pyocin R2; bacteriocin, pyocin, UNKNOWN FUNCTION; 4.0A {Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)}
WP_010940259.1	396	6D9T_A	349	99.87	2.8e-27	9%	12.5279	| Glycosyl transferase (E.C.2.4.1.57); Bacillithiol, Glycosyltransferase, UDP-N-acetylglucosamine, GT-B, BIOSYNTHETIC; HET: UDP; 2.0A {Staphylococcus aureus}
WP_010940220.1	115	2QTD_A	103	99.86	3.3e-27	18%	9.73272	| Uncharacterized protein MJ0327; Ribonuclease h-like motif fold, iron-molybdenum; HET: PG4; 1.7A {Methanocaldococcus jannaschii DSM 2661}
WP_010938400.1	218	6U5B_0	174	99.86	7.5e-27	14%	10.1239	| Tri1a PA0618, Sheath PA0622, Tube; bacteriocin, pyocin, VIRAL PROTEIN, ANTIMICROBIAL; 3.5A {Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)}
WP_010937991.1	166	5ANP_A	159	99.84	3.9e-26	9%	8.90178	| BA41; ANTARCTIC BACTERIA, BA41, UNKNOWN FUNCTION; 1.4A {BIZIONIA ARGENTINENSIS}
WP_010939062.1	293	5KEC_A	227	99.83	9e-26	15%	10.9399	| Flagellar brake protein YcgR; MrkH, K. pneumonia, biofilm, c-di-GMP; 1.949A {Klebsiella pneumoniae}
WP_010937551.1	125	2QTD_A	102	99.83	9.2e-26	19%	9.58841	| Uncharacterized protein MJ0327; Ribonuclease h-like motif fold, iron-molybdenum; HET: PG4; 1.7A {Methanocaldococcus jannaschii DSM 2661}
WP_014524537.1	410	5HDF_B	311	99.83	1.6e-25	15%	12.0621	| Hydrolase; Hydrolase; HET: MSE; 2.71A {Streptomyces flocculus}
WP_010940477.1	400	3O0F_A	272	99.82	2.2e-25	18%	6.92729	| putative metal-dependent phosphoesterase; STRUCTURAL GENOMICS, JOINT CENTER FOR; HET: AMP; 1.94A {Bifidobacterium adolescentis}
WP_011792465.1	183	3JC8_Oa	182	99.82	3.4e-25	14%	11.5427	| PilA, Type IV-A pilus assembly; motor, pilus, ring, membrane channel; HET: MEA;{Myxococcus xanthus DK 1622}
WP_150103632.1	401	4WZZ_A	313	99.81	4.4e-25	6%	12.1287	| ABC TRANSPORTER SOLUTE BINDING PROTEIN; ABC TRANSPORTER SOLUTE BINDING PROTEIN; HET: RAM, EDO, MSE; 1.7A {Clostridium phytofermentans}
WP_014524683.1	169	1XOU_A	164	99.81	6.5e-25	10%	7.70169	| EspA, Z5138 gene product; helix bundle, heterodimer, Structural protein-chaperone; 2.8A {Escherichia coli} SCOP: a.231.1.1
