,0
WP_010937534.1,type II toxin-antitoxin system HicB family antitoxin
WP_010937551.1,NifB/NifX family molybdenum-iron cluster-binding protein
WP_014524220.1,YbaY family lipoprotein
WP_014524228.1,YaeQ family protein
WP_010937707.1,type I restriction enzyme HsdR N-terminal domain-containing protein
WP_010937898.1,DsrE family protein
WP_010938119.1,fused MFS/spermidine synthase
WP_014524282.1,zinc-ribbon domain-containing protein
WP_010938240.1,insulinase family protein
WP_014524301.1,phosphodiester glycosidase family protein
WP_010938318.1,transglutaminase-like cysteine peptidase
WP_010938416.1,head decoration protein
WP_010938420.1,OB-fold putative lipoprotein
WP_010938751.1,protein phosphatase CheZ
WP_014524421.1,DVU1545 family biofilm structural adhesin
WP_010938847.1,C-GCAxxG-C-C family protein
WP_010938850.1,4Fe-4S dicluster domain-containing protein
WP_011792312.1,PTS sugar transporter subunit IIC
WP_010939009.1,head-tail connector protein
WP_010939023.1,BrnT family toxin
WP_010939042.1,helix-turn-helix domain-containing protein
WP_010939113.1,PxxKW family cysteine-rich protein
WP_010939290.1,(2Fe-2S)-binding protein
WP_010939385.1,NifB/NifX family molybdenum-iron cluster-binding protein
WP_010939412.1,FlxA-like family protein
WP_041722685.1,DUF1799 domain-containing protein
WP_010939481.1,PAS domain-containing protein
WP_010939487.1,molybdenum cofactor biosynthesis protein MoaE
WP_010939608.1,divergent polysaccharide deacetylase family protein
WP_010939849.1,tetratricopeptide repeat protein
WP_010939873.1,head-tail connector protein
WP_010939990.1,DNA circularization N-terminal domain-containing protein
WP_010939994.1,phage GP46 family protein
WP_010940103.1,type I restriction enzyme HsdR N-terminal domain-containing protein
WP_010940198.1,homocysteine biosynthesis protein
WP_010940349.1,outer membrane protein transport protein
WP_011176612.1,ThiF family adenylyltransferase
