Query       	qlen	Templa 	alnlen	preTMS	preTMS2	Z-score	SID	Description
WP_010940055.1	183	5YS3_A	183	0.9696	0.9254	8.640	60.1%	| Succinate-Acetate Permease; organic anion channel, rectifying, unidirectional; HET: PLM, 78M, ACT; 1.823A {Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696)}
WP_010938240.1	964	2FGE_A	964	0.9667	0.9373	34.007	45.2%	| zinc metalloprotease (insulinase family)/peptide complex; PEPTIDASOME PROTEASE-PEPTIDE COMPLEX, HYDROLASE; HET: MSE; 2.1A {Arabidopsis thaliana} SCOP: d.185.1.1
WP_010938748.1	247	4ILO_B	247	0.9418	0.9066	12.013	21.1%	| CT398; hypothetical protein, DNA/RNA binding, coiled-coil; 2.12A {Chlamydia trachomatis}
WP_010940480.1	447	1B0Z_A	436	0.9389	0.9430	12.114	27.1%	| PHOSPHOGLUCOSE ISOMERASE (EC: 5.3.1.9); PHOSPHOGLUCOSE ISOMERASE, AUTOCRINEFACTOR, NEUROLEUKIN, CRYSTALLOGRAPHY; 2.3A {Geobacillus stearothermophilus} SCOP: c.80.1.2
WP_010940670.1	304	3J40_F	297	0.9289	0.8460	12.213	13.5%	| gp10, gp7; capsid, accessory protein, VIRUS; 4.5A {Salmonella phage epsilon15}
WP_010937534.1	131	6G1N_D	131	0.9283	0.8610	7.192	35.9%	| Uncharacterized protein; The antitoxin HicB which acts; HET: GOL; 1.85A {Burkholderia pseudomallei}
WP_014524585.1	280	4BQN_A	274	0.9216	0.8312	9.800	19.0%	| CAPSULAR POLYSACCHARIDE BIOSYNTHESIS PROTEIN; TRANSFERASE, ACETYLTRANSFERASE, MELIOIDOSIS.; HET: PGE, PEG, COA; 1.38A {BURKHOLDERIA PSEUDOMALLEI}
WP_011792465.1	183	3JC8_Oi	182	0.9165	0.8237	8.920	13.2%	| PilA, Type IV-A pilus assembly; motor, pilus, ring, membrane channel; HET: MEA;{Myxococcus xanthus DK 1622}
WP_010939006.1	310	3J4U_E	297	0.9142	0.8582	12.817	16.5%	| major capsid protein, cementing protein; protein topology, cryoEM, VIRUS; 3.5A {Bordetella phage BPP-1}
WP_010937898.1	115	1L1S_A	112	0.9142	0.9294	4.398	29.5%	| hypothetical protein MTH1491; Structural Genomics, Hypothetical Protein, PSI; 2.3A {Methanothermobacter thermautotrophicus} SCOP: c.114.1.1
WP_010939911.1	147	2ZZE_B	145	0.9129	0.1888	7.219	23.4%	| Alanyl-tRNA synthetase (E.C.6.1.1.7); ligase, hydrolase; HET: OCS, MLY; 2.16A {Pyrococcus horikoshii}
WP_011791395.1	375	1EA0_A	360	0.9038	0.2380	12.166	15.6%	| GLUTAMATE SYNTHASE [NADPH] LARGE CHAIN; OXIDOREDUCTASE, IRON SULPHUR FLAVOPROTEIN; HET: F3S, AKG, OMT, FMN; 3.0A {AZOSPIRILLUM BRASILENSE} SCOP: b.80.4.1, c.1.4.1, d.153.1.1
WP_010940168.1	250	5JSZ_D	246	0.8977	0.8500	10.152	16.3%	| Energy-coupling factor transporter ATP-binding protein; ECF transporter, folate, membrane protein; 3.004A {Lactobacillus delbrueckii subsp. bulgaricus (strain ATCC 11842 / DSM 20081 / JCM 1002 / NBRC 13953 / NCIMB 11778)}
WP_011176692.1	69	2UWJ_E	69	0.8902	0.8791	3.906	15.9%	| TYPE III EXPORT PROTEIN PSCE; VIRULENCE, CHAPERONES, NEEDLE FORMATION, TYPE; 2.0A {PSEUDOMONAS AERUGINOSA}
WP_011792312.1	226	6K1H_B	221	0.8880	0.7423	10.593	13.6%	| PTS system mannose-specific EIID component; PTS, ManYZ, transporter, Mannose, PROTEIN; HET: MAN;{Escherichia coli str. K-12 substr. MG1655}
WP_010937762.1	255	3CQJ_A	254	0.8879	0.7761	7.104	9.1%	| L-ribulose-5-phosphate 3-epimerase ulaE (E.C.5.1.3.22); TIM-barrel, isomerase, phosphate-binding motif, Structural; 2.04A {Escherichia coli}
WP_010939994.1	118	2IA7_A	118	0.8773	0.7824	6.859	14.4%	| Crystal structure of putative tail; NP_952040.1, putative tail lysozyme, Structural; 1.44A {Geobacter sulfurreducens} SCOP: d.373.1.1
WP_010940349.1	401	3PGU_A	373	0.8764	0.8252	15.787	22.5%	| Long-chain fatty acid transport protein; outer membrane beta barrel, lipid; HET: OLA, 2PE, C8E; 1.7A {Escherichia coli K-12}
WP_010938404.1	266	3D37_A	262	0.8733	0.6249	8.970	15.3%	| Tail protein, 43 kDa; tail protein, structural genomics, PSI; 2.1A {Neisseria meningitidis MC58} SCOP: b.106.1.1
WP_010939009.1	550	6QWP_F	515	0.8712	0.8757	14.929	13.6%	| Portal protein; viral protein, DNA packaging; 3.4A {Enterobacteria phage T7}
WP_010939868.1	184	6R21_Q	175	0.8665	0.7004	9.032	11.4%	| PROTEIN; viral complex, DNA ejection, VIRAL; 3.33A {Enterobacteria phage T7}
WP_010937716.1	116	5KP0_A	116	0.8632	0.7282	5.022	11.2%	| Flagellar protein FliT,Flagellum-specific ATP synthase; flagella, chaperones, assembly factors, CHAPERONE; NMR {Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)}
WP_010939385.1	119	1O13_A	119	0.8618	0.7650	5.121	25.2%	| probable NifB protein that is; Ribonuclease h-like motif fold, structural; 1.83A {Thermotoga maritima} SCOP: c.55.5.1
WP_010939152.1	233	3GVE_A	229	0.8569	0.6051	8.836	14.8%	| YfkN protein; alpha-beta-beta-alpha sandwich, Structural Genomics, PSI-2; HET: CIT, MSE; 1.25A {Bacillus subtilis subsp. subtilis}
WP_010940128.1	182	6V40_A	165	0.8568	0.7945	9.132	30.3%	| PG_binding_3 domain-containing protein; Muramidase Lysozyme-like Peptidoglycan-binding, PROTEIN TRANSPORT; HET: API; 2.104A {Salmonella typhi}
WP_010939510.1	69	3MC3_A	69	0.8527	0.4720	4.045	10.1%	| DsrE/DsrF-like family protein; Structural Genomics, Joint Center for; 1.49A {Sulfolobus solfataricus}
WP_010939487.1	120	2OMD_B	119	0.8526	0.6792	5.344	14.3%	| Molybdopterin-converting factor subunit 2; MOAE, coenzyme biosynthesis, Structural Genomics; HET: GOL; 2.0A {Aquifex aeolicus}
WP_164928113.1	189	6V3Z_B	172	0.8504	0.8099	8.905	25.6%	| Sen1395; Muramidase Lysozyme-like Peptidoglycan-binding, PROTEIN TRANSPORT; 1.9A {Salmonella enteritidis}
WP_010937447.1	72	5GHA_F	72	0.8500	0.7358	4.661	25.0%	| Veg136 protein, Uncharacterized protein; sulfur transferase, TRANSFERASE, TRANSFERASE-TRANSPORT PROTEIN; HET: EDO, SO4; 2.502A {Thermus thermophilus HB27}
WP_010939002.1	697	6R21_d	667	0.8475	0.7495	21.273	14.2%	| PROTEIN; viral complex, DNA ejection, VIRAL; 3.33A {Enterobacteria phage T7}
WP_010939873.1	569	6QWP_F	526	0.8473	0.8796	15.363	14.6%	| Portal protein; viral protein, DNA packaging; 3.4A {Enterobacteria phage T7}
WP_010937517.1	108	2KX4_A	106	0.8451	0.7881	5.561	18.9%	| Tail attachment protein; gpFII, connector protein, Structural Genomics; NMR {Bacteriophage lambda}
WP_010938416.1	115	1TD4_A	109	0.8445	0.8445	6.450	17.4%	| Head decoration protein; SHP, Viral protein; 1.5A {Enterobacteria phage P21} SCOP: b.85.2.1
WP_010939349.1	318	5IR6_A	313	0.8421	0.6158	10.125	8.9%	| Bd-type quinol oxidase subunit I; bd oxidase, terminal oxidase, oxidoreductase; HET: HDD, HEB; 3.8A {Geobacillus stearothermophilus K1041}
WP_010937610.1	105	6P7Z_A	105	0.8400	0.2305	5.001	8.6%	| Histone-lysine N-methyltransferase SMYD3 (E.C.2.1.1.43); methyltransferase, oncology, inhibitor, TRANSFERASE-TRANSFERASE INHIBITOR; HET: SAM, O41; 1.19A {Homo sapiens}
WP_010939011.1	184	3TCV_B	175	0.8369	0.6414	7.576	11.4%	| GCN5-related N-acetyltransferase (E.C.2.3.1.5); gram negative coccobacillus, brucellosis, acyl; 1.75A {Brucella melitensis biovar Abortus 2308}
WP_011792418.1	100	1S98_A	100	0.8364	0.7876	5.959	14.0%	| Protein yfhF; IscA, Fe-S cluster, iron, sulfur; 2.3A {Escherichia coli} SCOP: b.124.1.1
WP_010937972.1	256	5H18_A	248	0.8321	0.7373	8.415	11.3%	| UGGT; ENDOPLASMIC RETICULUM, QUALITY CONTROL, GLUCOSYLTRANSFERASE; HET: UPG, MSE; 1.4A {Thermomyces dupontii}
WP_010938118.1	155	6ZY2_A	153	0.8301	0.7181	7.059	15.0%	| YrbD protein, ABC transporter maintaining; phospholipid, phospholipid transport, ABC transporter; 3.6A {Escherichia coli B185}
WP_010940220.1	115	1O13_A	114	0.8248	0.7116	4.726	19.3%	| probable NifB protein that is; Ribonuclease h-like motif fold, structural; 1.83A {Thermotoga maritima} SCOP: c.55.5.1
WP_010937802.1	1015	6VDE_B	866	0.8235	0.9181	29.212	34.3%	| DNA polymerase I (E.C.2.7.7.7); mycobacteria, DNA polymerase, Flap endonuclease; 2.713A {Mycolicibacterium smegmatis}
WP_014524683.1	169	7KHW_e	169	0.8225	0.7333	6.073	8.3%	| Translocon EspA; type III secretion system (T3SS); 3.4A {Escherichia coli O127:H6 (strain E2348/69 / EPEC)}
WP_014524635.1	64	2VT1_B	64	0.8224	0.5956	4.863	7.8%	| SURFACE PRESENTATION OF ANTIGENS PROTEIN; SHIGELLA FLEXNERI, SPECIFICITY SWITCH, VIRULENCE; 2.0A {SHIGELLA FLEXNERI}
WP_014524471.1	116	5KBX_B	115	0.8213	0.4684	3.836	11.3%	| Phosphorelay intermediate protein YPD1, Osmolarity; two-component signaling, phosphorelay, Ypd1, Ssk1; HET: GOL, PO4, MSE; 2.798A {Saccharomyces cerevisiae (strain ATCC 204508 / S288c)}
WP_010938423.1	80	6NRC_4	80	0.8210	0.6570	3.375	12.5%	| Prefoldin subunit 1, Prefoldin subunit; TRiC/CCT, PFD, CryoEM, Molecular Chaperone; 8.3A {Homo sapiens}
WP_010938670.1	76	1ZHC_A	72	0.8209	0.8209	3.530	22.2%	| hypothetical protein HP1242; a-helical protein, UNKNOWN FUNCTION; NMR {Helicobacter pylori}
WP_010940657.1	96	6O1Q_A	96	0.8197	0.6842	3.503	13.5%	| Nephrocystin-1; nephronophthisis, apoptosis; NMR {Homo sapiens}
WP_010938898.1	248	4FIX_A	238	0.8186	0.3328	7.623	13.4%	| UDP-galactofuranosyl transferase GlfT2 (E.C.2.4.1.-); Galactofuranosyltransferase, CAZY GT-2 family, Glycosyltransferase; HET: GOL; 2.45A {Mycobacterium tuberculosis}
WP_010940223.1	219	5IDJ_A	196	0.8183	0.7454	8.366	18.9%	| Cell cycle histidine kinase CckA; bifunctional, histidine kinase, phosphatase, transferase; HET: ADP; 3.01A {Caulobacter vibrioides}
WP_010940351.1	215	3P8A_A	212	0.8174	0.6610	8.549	12.3%	| uncharacterized protein, hypothetical protein; mainly antiparallel beta sheets, alpha; HET: PG4, BTB, MSE, GOL; 1.95A {Staphylococcus aureus}
WP_010939003.1	195	6R21_Q	185	0.8152	0.6990	9.305	9.7%	| PROTEIN; viral complex, DNA ejection, VIRAL; 3.33A {Enterobacteria phage T7}
