,locus_tag,old_locus_tag,OctoberProduct,SAdLSApdb,SAdLSApreTMS,SAdLSApreTMS2,SAdLSApdbDescription,pfamID,pfamPreTMS,pfamPreTMS2,pfamDescription,hhblitsID,hhblitsProb,hhblitsDescription
WP_011793178.1,DVU_RS00135,NULL,hypothetical,2BSZ_A,0.5065,0.2936,"ARYLAMINE N-ACETYLTRANSFERASE 1 (E.C.2.3.1.5); ACYLTRANSFERASE, TRANSFERASE; 2.0A {RHIZOBIUM LOTI} SCOP: d.3.1.5",PF04720.13,0.5539,0.3865,PDDEXK_6 ; PDDEXK-like family of unknown function,3ISR_B,80.16,"Transglutaminase-like enzymes, putative cysteine protease; Transglutaminase, cysteine, protease, cytophaga, hutchinsonii; HET: MSE; 1.9A {Cytophaga hutchinsonii}"
WP_010937346.1,DVU_RS16670,DVU0035,hypothetical,5C39_A,0.4911,0.5093,"P0 Manganese cluster peptide; Manganese cofactors, Mn4Ca cluster, DE; 1.751A {synthetic construct}",PF07870.12,0.4855,0.5077,DUF1657 ; Protein of unknown function (DUF1657),6T15_i,50.12,"CYTOCHROME B-C1 COMPLEX SUBUNIT 1; CYTOCHROME C OXIDASE CYTOCHROME BC1; HET: PCF, CDL, HEC, HEM, HEA, PEF; 3.29A {Saccharomyces cerevisiae S288C}"
WP_010937347.1,DVU_RS00165,DVU0036,hypothetical,3LAY_J,0.7672,0.6754,"Zinc resistance-associated protein; Zinc resistance-associated protein, Salmonella typhimurium; 2.7A {Salmonella enterica subsp. enterica serovar Typhimurium}",PF13801.7,0.6799,0.7923,Metal_resist ; Heavy-metal resistance,3LAY_H,99.78,"Zinc resistance-associated protein; Zinc resistance-associated protein, Salmonella typhimurium; 2.7A {Salmonella enterica subsp. enterica serovar Typhimurium}"
WP_010937351.1,DVU_RS00185,DVU0040,hypothetical,4RWN_A,0.7320,0.4579,"2'-5'-oligoadenylate synthase 1 (E.C.2.7.7.84)/RNA; Innate immunity, pathogen RNA sensor; HET: APC; 2.0A {Sus scrofa}",PF04928.18,0.6795,0.4380,PAP_central ; Poly(A) polymerase central domain,2RFF_A,91.32,"Putative nucleotidyltransferase; NP_343093.1, A Putative Nucleotidyltransferase, Nucleotidyltransferase; 1.4A {Sulfolobus solfataricus P2}"
WP_010937375.1,DVU_RS00305,DVU0064,hypothetical,6Z34_A,0.5192,0.3983,CymD; FadL monoaromatic hydrocarbons biodegradation toluene; 2.27A {Pseudomonas putida},PF10082.10,0.5766,0.4914,BBP2_2 ; Putative beta-barrel porin 2,3PGU_A,98.72,"Long-chain fatty acid transport protein; outer membrane beta barrel, lipid; HET: OLA, 2PE, C8E; 1.7A {Escherichia coli K-12}"
WP_010937376.1,DVU_RS00310,DVU0065,hypothetical,3PGU_A,0.5747,0.4014,"Long-chain fatty acid transport protein; outer membrane beta barrel, lipid; HET: OLA, 2PE, C8E; 1.7A {Escherichia coli K-12}",PF10082.10,0.6185,0.4758,BBP2_2 ; Putative beta-barrel porin 2,3PGU_A,98.84,"Long-chain fatty acid transport protein; outer membrane beta barrel, lipid; HET: OLA, 2PE, C8E; 1.7A {Escherichia coli K-12}"
WP_010937378.1,DVU_RS00320,DVU0067,hypothetical,1KWA_A,0.3766,0.4157,"HCASK/LIN-2 PROTEIN; PDZ DOMAIN, NEUREXIN, SYNDECAN, RECEPTOR; HET: SO4; 1.93A {Homo sapiens} SCOP: b.36.1.1",PF04699.15,0.3672,0.2878,P16-Arc ; ARP2/3 complex 16 kDa subunit (p16-Arc),1C75_A,83.32,"CYTOCHROME C-553; C-553, HEME, CYTOCHROME, BACILLUS PASTEURII; HET: HEM; 0.97A {Sporosarcina pasteurii} SCOP: a.3.1.1"
WP_010937444.1,DVU_RS00650,DVU0133,hypothetical,5CWO_B,0.4781,0.4893,"Designed helical repeat protein; helical repeat protein, DE NOVO; 3.35A {synthetic construct}",PF03395.15,0.4579,0.1838,Pox_P4A ; Poxvirus P4A protein,1QYS_A,85.21,"TOP7; alpha-beta, computationally designed, novel fold; 2.5A {Computationally Designed Sequence} SCOP: k.41.1.1"
WP_010937447.1,DVU_RS00665,DVU0136,hypothetical,5GHA_F,0.8500,0.7358,"Veg136 protein, Uncharacterized protein; sulfur transferase, TRANSFERASE, TRANSFERASE-TRANSPORT PROTEIN; HET: EDO, SO4; 2.502A {Thermus thermophilus HB27}",PF18037.2,0.8026,0.6308,Ubiquitin_5 ; Ubiquitin-like domain,4HRS_A,99.51,Small archaeal modifier protein 2; beta-grasp fold  beta-hinge motif; 2.3A {Haloferax volcanii DS2}
WP_010937457.1,DVU_RS00710,DVU0146,hypothetical,5AXG_A,0.5836,0.3057,"dextranase (E.C.3.2.1.11); glycoside hydrolase family 66, HYDROLASE; HET: CXS, EDO, PO4; 1.85A {Thermoanaerobacter pseudethanolicus ATCC 33223}",PF14725.7,0.5184,0.4655,DUF4466 ; Domain of unknown function (DUF4466),3W1E_A,93.00,"Flagella basal-body protein; H-ring formation, the flagellar basal; 2.0A {Vibrio alginolyticus}"
